No,Name,Negara,QS 2022,CWUR 2021-2022 Rank,THE Rank 2022,CS Rank,CV CG Viz Papers Geom Mean Count,CV CG Viz Faculty
32,The University of Manchester,Inggris,27,57,50,,,
33,"Nanyang Technological University, Singapore (NTU)",Singapura,12,136,46,41,4.7,23
34,EPFL (Ecole Polytechnique Fédérale de Lausanne),Swiss,14,104,176,26,7,11
35,Université PSL (Paris Sciences & Lettres),Perancis,44,27,40,,,
36,University of British Columbia,Kanada,46,48,37,22,7.3,16
37,McGill University,Kanada,27,27,44,162,2.1,3
38,The University of Hong Kong,Hong Kong,22,171,30,35,5.4,14
39,Kyoto University,Jepang,33,28,61,200,1.7,4
40,Technical University of Munich,Jerman,50,80,38,16,9.6,11
41,The Australian National University,Australia,27,125,54,88,3.3,9
42,Ludwig-Maximilians-Universität München,Jerman,64,44,,214,1.6,4
43,University of Washington,Amerika Serikat,85,23,29,18,8.7,20
44,The University of Queensland,Australia,47,109,54,214,1.6,4
45,Fudan University,Tiongkok,31,115,60,125,2.6,12
46,The University of Sydney,Australia,38,98,58,95,3.1,11
47,Carnegie Mellon University,Amerika Serikat,53,85,28,12,10.1,34
48,Ruprecht-Karls-Universitaet Heidelberg,Jerman,63,70,42,75,3.6,7
49,University of Texas at Austin,Amerika Serikat,67,33,47,60,4.1,14
50,Seoul National University,Korea Selatan,36,31,54,23,7.2,13
51,The Chinese University of Hong Kong,Hong Kong,39,187,49,14,9.7,14
52,The University of New South Wales (UNSW Australia),Australia,43,114,70,307,1.2,2
53,Zhejiang University,Tiongkok,45,110,75,1,19,48
54,University of Wisconsin-Madison,Amerika Serikat,75,25,58,21,7.5,12
55,KU Leuven,Belgia,70,116,42,240,1.5,5
56,Monash University,Australia,58,128,57,111,2.8,13
57,University of Illinois at Urbana-Champaign,Amerika Serikat,82,22,48,45,4.5,28
58,Shanghai Jiao Tong University,Tiongkok,50,102,84,37,5.2,27
59,"University of North Carolina, Chapel Hill",Amerika Serikat,100,39,52,51,4.4,11
60,Washington University in St. Louis,Amerika Serikat,107,47,51,132,2.5,5
61,London School of Economics and Political Science (LSE),Inggris,,328,27,,,
62,University of Zurich,Swiss,70,65,75,200,1.7,2
63,Sorbonne University,Perancis,72,36,88,,,
64,University of Amsterdam,Belanda,55,84,65,111,2.8,6
65,University of Copenhagen,Denmark,79,37,96,111,2.8,4
66,Brown University,Amerika Serikat,60,66,64,75,3.6,6
67,University of Bristol,Inggris,62,91,92,181,1.9,5
68,Georgia Institute of Technology,Amerika Serikat,88,76,45,28,6.7,15
69,Utrecht University,Belanda,110,71,69,214,1.6,2
70,The University of Warwick,Inggris,61,174,78,240,1.5,4
71,Hong Kong University of Science and Technology,Hong Kong,34,229,66,17,8.8,23
72,Université Paris-Saclay,Perancis,86,32,117,,,
73,University of Southern California,Amerika Serikat,112,51,63,78,3.5,10
74,University of Science and Technology of China,Tiongkok,98,139,88,,,
75,Delft University of Technology,Belanda,57,259,75,41,4.7,9
76,Boston University,Amerika Serikat,112,94,62,60,4.1,10
77,"University of California, Davis",Amerika Serikat,108,52,67,45,4.5,7
78,Leiden University,Belanda,112,87,71,,,
79,Wageningen University,Belanda,123,180,53,,,
80,Hong Kong Polytechnic University,Hong Kong,66,267,91,141,2.4,4
81,University of Groningen,Belanda,128,103,80,344,1.1,1
82,"University of California, Santa Barbara (UCSB)",Amerika Serikat,146,95,68,33,5.8,9
83,University of Helsinki,Finlandia,104,118,101,344,1.1,1
84,KAIST - Korea Advanced Institute of Science & Technology,Korea Selatan,41,223,99,7,12,29
85,University of Oslo,Norwegia,102,77,119,,,
86,University of Glasgow,Inggris,73,126,86,307,1.2,2
87,Université de Montréal,Kanada,111,120,88,,,
88,University of Birmingham,Inggris,90,79,105,169,2,3
89,Purdue University,Amerika Serikat,116,61,1201,132,2.5,8
90,McMaster University,Kanada,140,164,80,,,
91,The University of Sheffield,Inggris,95,150,110,344,1.1,2
92,Ghent University,Belgia,141,121,96,,,
93,The University of Western Australia,Australia,93,156,132,162,2.1,5
94,"University of Maryland, College Park",Amerika Serikat,158,75,93,4,12.6,22
95,Ohio State University,Amerika Serikat,120,56,85,45,4.5,7
96,The University of Adelaide,Australia,108,213,111,70,3.7,12
97,University of Bern,Swiss,119,143,101,169,2,1
98,Lomonosov Moscow State  University,Rusia,78,194,158,,,
99,National Taiwan University (NTU),Taiwan,68,90,113,125,2.6,7
100,City University of Hong Kong,Hong Kong,53,266,151,35,5.4,14
101,Alfaisal University,Arab Saudi,,1805,201,,,
102,King Fahd University of Petroleum & Minerals,Arab Saudi,163,705,351,,,
103,King Saud University,Arab Saudi,277,371,351,,,
104,King Abdulaziz University (KAU),Arab Saudi,109,278,190,,,
105,Technische Universitat Graz,Austria,277,828,601,35,5.4,10
106,Technische Universitat Wien,Austria,180,,401,214,1.6,4
107,Universität Innsbruck,Austria,281,375,401,,,
108,University of Vienna,Austria,151,207,137,307,1.2,1
109,Université Catholique de Louvain (UCL),Belgia,188,197,158,,,
110,Université Libre de Bruxelles,Belgia,207,219,201,,,
111,Aalborg University,Denmark,326,354,201,,,
112,Aarhus University,Denmark,155,107,104,344,1.1,3
113,Technical University of Denmark,Denmark,99,196,185,,,
114,Aalto University,Finlandia,112,335,201,144,2.3,5
115,University of Oulu,Finlandia,377,446,251,,,
116,University of Turku,Finlandia,295,381,351,,,
117,National University of Ireland Galway,Irlandia,258,619,351,,,
118,Trinity College Dublin,Irlandia,101,218,146,,,
119,University College Cork,Irlandia,298,517,251,,,
120,University College Dublin,Irlandia,173,289,201,,,
121,Reykjavík University,Islandia,,1967,301,,,
122,University of Iceland,Islandia,,575,401,,,
123,Alma Mater Studiorum - University of Bologna,Italia,166,177,172,,,
124,Politecnico di Milano,Italia,142,344,351,264,1.4,3
125,Sapienza University of Rome,Italia,171,113,197,100,3,8
126,Università degli Studi di Padova (UNIPD),Italia,242,165,,,,
127,Tohoku University,Jepang,82,132,201,,,
128,Tokyo Institute of Technology,Jepang,56,151,301,214,1.6,4
129,Albert-Ludwigs-Universitaet Freiburg,Jerman,172,122,108,149,2.2,4
130,Sungkyunkwan University (SKKU),Korea Selatan,97,192,122,,,
131,Yonsei University,Korea Selatan,79,169,151,88,3.3,8
132,University of Luxembourg,Luksemburg,,864,251,307,1.2,1
133,Universiti Malaya (UM),Malaysia,65,397,301,344,1.1,1
134,Universiti Putra Malaysia (UPM),Malaysia,143,805,601,,,
135,Universiti Sains Malaysia (USM),Malaysia,147,778,601,,,
136,Universiti Teknologi Malaysia,Malaysia,191,901,601,,,
137,Norwegian University of Science and Technology,Norwegia,369,182,401,,,
138,UiT The Arctic University of Norway,Norwegia,440,512,351,,,
139,University of Bergen,Norwegia,199,276,201,200,1.7,2
140,Institut Polytechnique de Paris,Perancis,49,41,91,,,
141,Qatar University,Qatar,224,981,301,411,1,1
142,The University of Auckland,Selandia Baru,85,262,137,,,
143,University of Canterbury,Selandia Baru,258,516,501,307,1.2,1
144,University of Otago,Selandia Baru,194,351,201,284,1.3,2
145,Victoria University of Wellington,Selandia Baru,236,698,501,162,2.1,6
146,Singapore Management University,Singapura,520,1363,,91,3.2,12
147,Universidad Autónoma de Madrid,Spanyol,207,282,301,,,
148,Universitat Autònoma de Barcelona,Spanyol,209,186,170,,,
149,Universitat de Barcelona,Spanyol,168,131,193,,,
150,Universitat Pompeu Fabra,Spanyol,248,395,156,,,
151,Lund University,Swedia,87,141,116,,,
152,Stockholm University,Swedia,148,144,176,,,
153,University of Gothenburg,Swedia,180,173,185,,,
154,Uppsala University,Swedia,124,88,131,344,1.1,2
155,National Tsing Hua University,Taiwan,180,382,351,162,2.1,6
156,National Yang Ming Chiao Tung University,Taiwan,268,455,301,,,
157,Taipei Medical University,Taiwan,407,712,201,,,
158,University of Waterloo,Kanada,149,200,201,40,5,8
