CWUR 2021-2022 Rank,Name
470,Nanjing Agricultural University
471,Nanjing University of Aeronautics and Astronautics
472,Nanjing University of Science and Technology
473,George Mason University
474,Federal University of Rio Grande do Sul
475,University of Strathclyde
476,Scuola Normale Superiore di Pisa
477,Technical University of Darmstadt
478,Joint Institute for Nuclear Research
479,University of Rostock
480,Beijing University of Chemical Technology
481,École normale supérieure de Lyon
482,James Cook University
483,University of KwaZulu-Natal
484,Chulalongkorn University
485,Oklahoma State University
486,University of Oviedo
487,Ioffe Physical-Technical Institute of the Russian Academy of Sciences
488,Polytechnic University of Valencia
489,Rovira i Virgili University
490,Leibniz University Hannover
491,Huazhong Agricultural University
492,Xidian University
493,West Virginia University
494,Nanjing Medical University
495,Baylor University
496,Savoie Mont Blanc University
497,Technical University of Dortmund
498,Lehigh University
499,University of Hawaii at Manoa
500,La Trobe University
501,University of Ferrara
502,Rush University
503,Federal University of Minas Gerais
504,University of Tennessee Health Science Center
505,Swarthmore College
506,Novosibirsk State University
507,Boston College
508,University of Modena and Reggio Emilia
509,Western Sydney University
510,University of Surrey
511,University of Hull
512,University of Tromsø – The Arctic University of Norway
513,Northwest A&F University
514,NOVA University of Lisbon
515,"Royal Holloway, University of London"
516,University of Canterbury
517,University College Cork
518,Wuhan University of Technology
519,University of Potsdam
520,University of Tehran
521,University of Tartu
522,National Yang-Ming University
523,University of South Australia
524,RMIT University
525,University of Zagreb
526,Colorado School of Mines
527,Bar-Ilan University
528,Ulsan National Institute of Science and Technology
529,University of Bremen
530,Georgia State University
531,USI - University of Italian Speaking Switzerland
532,University of Verona
533,University of Rennes 1
534,Carleton University
535,Polytechnic University of Madrid
536,University of Konstanz
537,Hitotsubashi University
538,Saint Petersburg University
539,"Northeastern University, China"
540,University of Arkansas - Fayetteville
541,Rensselaer Polytechnic Institute
542,Moscow Institute of Physics and Technology
543,Tata Institute of Fundamental Research
544,University of Nantes
545,Medical University of Innsbruck
546,Cairo University
547,Ewha Womans University
548,National Technical University of Athens
549,Mahidol University
550,Chiba University
551,Fuzhou University
552,"China Medical University, Taiwan"
553,Jinan University
554,Flinders University
555,National Central University
556,Clemson University
557,Indian Institute of Technology Madras
558,Mayo Clinic College of Medicine and Science
559,Brunel University London
560,San Diego State University
561,Medical University of Graz
562,Southwest University
563,University of Graz
564,University of Sherbrooke
565,University of Jyväskylä
566,Institut Agro
567,Indian Institute of Technology Bombay
568,China University of Petroleum
569,University of Texas at Arlington
570,Chang Gung University
571,University of Delhi
572,Palacký University Olomouc
573,Middle East Technical University
574,Illinois Institute of Technology
575,University of Iceland
576,Nanjing Tech University
577,University of Minho
578,"Institute of Cancer Research, University of London"
579,University of Udine
580,University of Pretoria
581,Auburn University
582,Swansea University
583,University of Wisconsin–Milwaukee
584,University of Burgundy
585,University of Palermo
586,Concordia University
587,Masaryk University
588,Bocconi University
589,College of William & Mary
590,University of Nebraska Medical Center
591,Eötvös Loránd University
592,Haverford College
593,Central China Normal University
594,Czech Technical University in Prague
595,Jiangsu University
596,University Paris-Est Créteil
597,Brigham Young University
598,CINVESTAV
599,Polytechnic University of Turin
600,University of Salerno
601,Beijing Jiaotong University
602,Jiangnan University
603,University of Aveiro
604,University of Cagliari
605,University of Eastern Piedmont
606,AGH University of Science and Technology
607,Federal University of São Paulo
608,Nanjing University of Information Science and Technology
609,Comenius University in Bratislava
610,University of St.Gallen
611,Jeonbuk National University
612,Sharif University of Technology
613,National Research Nuclear University MEPhI
614,"St George's, University of London"
615,Utah State University
616,University of Bayreuth
617,University of Québec at Montreal
618,Second Military Medical University
619,"National University of Ireland, Galway"
620,Rio de Janeiro State University
621,National University of La Plata
622,University of Brescia
623,Indian Institute of Technology Delhi
624,Toulouse INP
625,University of La Laguna
626,Institut national des sciences appliquées de Lyon
627,Konkuk University
628,Southern Medical University
629,Bielefeld University
630,Cold Spring Harbor Laboratory
631,University of Plymouth
632,Henryk Niewodniczański Institute of Nuclear Physics
633,North China Electric Power University
634,Ocean University of China
635,Catholic University of Korea
636,Courtauld Institute of Art
637,Boğaziçi University
638,China University of Mining and Technology
639,Memorial University of Newfoundland
640,National Polytechnic Institute
641,University of New Hampshire
642,Tilburg University
643,Tehran University of Medical Sciences
644,Southern University of Science and Technology
645,Renmin University of China
646,Nanjing Normal University
647,Hefei University of Technology
648,Donghua University
649,University of Cantabria
650,Hacettepe University
651,Saarland University
652,Ankara University
653,Binghamton University
654,Chung-Ang University
655,Shinshu University
656,University of Macau
657,Swinburne University of Technology
658,University of Campania Luigi Vanvitelli
659,Sciences Po
660,Loughborough University
661,Loyola University Chicago
662,University of Texas Medical Branch
663,Tokyo Metropolitan University
664,University of Kent
665,Roma Tre University
666,University of Calabria
667,Massey University
668,University of Haifa
669,Kanazawa University
670,University of Wyoming
671,University of Málaga
672,Tokyo Medical and Dental University
673,Istanbul University
674,University of Johannesburg
675,University of Texas at San Antonio
676,University of Ioannina
677,Zhejiang University of Technology
678,University of Szeged
679,University of Fribourg
680,"University of Maine, Orono"
681,Tianjin Medical University
682,Istanbul Technical University
683,Semmelweis University
684,Nanchang University
685,"University of Nevada, Reno"
686,Warsaw University of Technology
687,Vilnius University
688,National University of Defense Technology
689,Chungnam National University
690,Yokohama City University
